Game,Released,Game platforms,Status,Played on,Created,Updated,Rating,Review,Rating Created,Url
Trove,2015-07-09,"PC, macOS, Xbox One, PlayStation 4",Played,PC,2020-02-03 22:05:42,2020-02-03 22:23:04,,,,https://rawg.io/games/trove
TeraBlaster,2015-07-10,"PC, macOS",Played,PC,2020-02-03 22:05:43,2020-02-03 22:23:00,,,,https://rawg.io/games/terablaster
RPG MO,2015-08-18,"Linux, PC, macOS",Played,PC,2020-02-03 22:05:43,2020-02-03 22:22:57,,,,https://rawg.io/games/rpg-mo
Kingdom: Classic,2015-09-21,"PC, macOS, Linux",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:22:41,,,,https://rawg.io/games/kingdom-classic
Murderous Pursuits,2018-04-26,PC,Not played,PC,2020-02-03 22:05:45,2020-02-03 22:22:36,,,,https://rawg.io/games/murderous-pursuits
The Legend of Zelda: The Wind Waker,2002-12-13,GameCube,Played,GameCube,2020-02-03 22:22:26,2020-02-03 22:22:28,,,,https://rawg.io/games/the-legend-of-zelda-the-wind-waker
The Legend of Zelda: Breath of the Wild,2017-03-02,"Nintendo Switch, Wii U",Completed,,2020-02-03 22:22:15,2020-02-03 22:22:19,exceptional,,2020-02-03 22:28:01,https://rawg.io/games/the-legend-of-zelda-breath-of-the-wild
Wurm Unlimited,2015-10-21,"Linux, PC",Played,PC,2020-02-03 22:05:43,2020-02-03 22:21:50,,,,https://rawg.io/games/wurm-unlimited
Middle-earth: Shadow of War,2017-09-27,"PlayStation 4, PC, Xbox One",Not played,PC,2020-02-03 22:05:44,2020-02-03 22:21:40,,,,https://rawg.io/games/middle-earth-shadow-of-war
Darksiders Warmastered Edition,2016-11-29,"PC, Nintendo Switch, Wii U, PlayStation 4, Xbox One",Played,PC,2020-02-03 22:05:40,2020-02-03 22:21:37,,,,https://rawg.io/games/darksiders-warmastered-edition
H1Z1: King of the Kill,2016-02-17,PC,Played,PC,2020-02-03 22:05:44,2020-02-03 22:21:28,,,,https://rawg.io/games/h1z1-king-of-the-kill
Pixel Puzzles Ultimate,2016-09-09,PC,Played,PC,2020-02-03 22:05:42,2020-02-03 22:21:25,,,,https://rawg.io/games/pixel-puzzles-ultimate
Street Fighter V,2016-02-15,"PC, PlayStation 4",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:21:21,,,,https://rawg.io/games/street-fighter-v
Emily is Away,2015-11-20,"macOS, PC, Linux",Completed,PC,2020-02-03 22:05:44,2020-02-03 22:21:19,,,,https://rawg.io/games/emily-is-away
Sven Co-op,2016-01-22,PC,Not played,PC,2020-02-03 22:05:42,2020-02-03 22:21:13,,,,https://rawg.io/games/sven-co-op
Cat Simulator,2016-02-12,"PC, Android",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:21:06,,,,https://rawg.io/games/cat-simulator
Quake Champions,2017-08-22,PC,Not played,PC,2020-02-03 22:05:45,2020-02-03 22:21:01,,,,https://rawg.io/games/quake-champions
The Flame in the Flood,2016-02-23,"PC, macOS, Nintendo Switch, PlayStation 4, Xbox One",Played,PC,2020-02-03 22:05:43,2020-02-03 22:20:54,,,,https://rawg.io/games/the-flame-in-the-flood
CATS!,2016-06-24,PC,Not played,PC,2020-02-03 22:05:45,2020-02-03 22:20:47,,,,https://rawg.io/games/cats
Endorlight,2016-04-26,PC,Not played,PC,2020-02-03 22:05:44,2020-02-03 22:20:43,,,,https://rawg.io/games/endorlight
Bullet Life 2010,2016-05-18,PC,Not played,PC,2020-02-03 22:05:44,2020-02-03 22:20:41,,,,https://rawg.io/games/bullet-life-2010
Stardew Valley,2016-02-25,"Android, iOS, PS Vita, PlayStation 4, Linux, macOS, PC, Xbox One, Nintendo Switch",Played,,2020-02-03 22:18:40,2020-02-03 22:18:42,,,,https://rawg.io/games/stardew-valley
Path of Exile,2013-10-23,"PC, PlayStation 4, Xbox One",Not played,PC,2020-02-03 22:05:41,2020-02-03 22:18:33,,,,https://rawg.io/games/path-of-exile
MagiCat,2017-08-22,"macOS, PC, Nintendo Switch",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:17:49,,,,https://rawg.io/games/magicat
Tabletopia,2016-11-30,"macOS, PC, iOS",Played,PC,2020-02-03 22:05:44,2020-02-03 22:17:22,,,,https://rawg.io/games/tabletopia
Yu-Gi-Oh! Duel Links,2017-01-11,"iOS, PC, Android",Played,PC,2020-02-03 22:05:44,2020-02-03 22:17:20,,,,https://rawg.io/games/yu-gi-oh-duel-links
Mages of Mystralia,2017-05-17,"PC, Xbox One, PlayStation 4, Nintendo Switch",Not played,PC,2020-02-03 22:05:44,2020-02-03 22:17:16,,,,https://rawg.io/games/mages-of-mystralia
La Tale,2017-11-28,PC,Not played,PC,2020-02-03 22:05:41,2020-02-03 22:17:13,,,,https://rawg.io/games/la-tale-2017
Equilinox,2018-11-23,"Linux, macOS, PC",Played,PC,2020-02-03 22:05:45,2020-02-03 22:17:07,,,,https://rawg.io/games/equilinox
Heaven Forest - VR MMO,2016-12-14,"macOS, Linux, PC",Not played,PC,2020-02-03 22:05:44,2020-02-03 22:17:02,,,,https://rawg.io/games/heaven-forest-vr-mmo
Resident Evil 7 / Biohazard 7 Teaser: Beginning Hour,2016-12-18,"PC, PlayStation 4, Xbox One",Played,PC,2020-02-03 22:05:44,2020-02-03 22:16:59,,,,https://rawg.io/games/resident-evil-7-biohazard-7-teaser-beginning-hour
Heavy Metal Machines,2017-01-31,PC,Not played,PC,2020-02-03 22:05:43,2020-02-03 22:16:57,,,,https://rawg.io/games/heavy-metal-machines
VRChat,2017-02-01,PC,Played,PC,2020-02-03 22:05:44,2020-02-03 22:16:53,,,,https://rawg.io/games/vrchat
McOsu,2017-03-20,"Linux, PC",Played,PC,2020-02-03 22:05:44,2020-02-03 22:16:50,,,,https://rawg.io/games/mcosu
"Pokémon HeartGold, SoulSilver",2010-03-14,Nintendo DS,Completed,Nintendo DS,2020-02-03 22:16:20,2020-02-03 22:16:21,exceptional,,2020-02-03 22:28:04,https://rawg.io/games/pokemon-heartgold-version
"Pokémon FireRed, LeafGreen",2004-01-29,Game Boy Advance,Played,Game Boy Advance,2020-02-03 22:16:16,2020-02-03 22:16:17,,,,https://rawg.io/games/pokemon-firered
"Pokémon X, Y",2013-10-12,Nintendo 3DS,Completed,Nintendo 3DS,2020-02-03 22:15:52,2020-02-03 22:16:14,recommended,,2020-02-03 22:16:05,https://rawg.io/games/pokemon-y
Bloodborne,2015-03-24,PlayStation 4,Played,PlayStation 4,2020-02-03 22:06:11,2020-02-03 22:15:15,recommended,,2020-02-03 23:20:53,https://rawg.io/games/bloodborne
HITMAN,2017-11-16,"Linux, macOS, PC, Xbox One, PlayStation 4",Played,PC,2020-02-03 22:05:45,2020-02-03 22:14:59,,,,https://rawg.io/games/hitman
Mirage: Arcane Warfare,2017-05-23,PC,Played,PC,2020-02-03 22:05:45,2020-02-03 22:14:54,,,,https://rawg.io/games/mirage-arcane-warfare
This Book Is A Dungeon,2015-10-09,PC,Played,PC,2020-02-03 22:05:44,2020-02-03 22:14:04,,,,https://rawg.io/games/this-book-is-a-dungeon
Dragomon Hunter,2015-12-02,PC,Played,PC,2020-02-03 22:05:43,2020-02-03 22:13:58,,,,https://rawg.io/games/dragomon-hunter
Totally Accurate Battlegrounds,2018-06-05,PC,Not played,PC,2020-02-03 22:05:45,2020-02-03 22:12:37,,,,https://rawg.io/games/totally-accurate-battlegrounds
Whispers of a Machine,TBA,"iOS, macOS, PC",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:11:44,,,,https://rawg.io/games/whispers-of-a-machine
The Witcher: Enhanced Edition Director's Cut,2008-09-16,"PC, macOS",Played,,2020-02-03 22:11:23,2020-02-03 22:11:25,,,,https://rawg.io/games/the-witcher-enhanced-edition-directors-cut
Rise of the Tomb Raider,2015-11-10,"PC, Xbox One, PlayStation 4, macOS",Played,,2020-02-03 22:11:13,2020-02-03 22:11:21,,,,https://rawg.io/games/rise-of-the-tomb-raider
Destiny 2,2017-09-06,"PC, Xbox One, PlayStation 4",Played,,2020-02-03 22:11:05,2020-02-03 22:11:07,,,,https://rawg.io/games/destiny-2
PAYDAY 2,2013-08-13,"PC, Linux, Xbox One",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:10:57,,,,https://rawg.io/games/payday-2
Limbo,2010-07-21,"PC, iOS, Linux, macOS, Android, Xbox One, Xbox 360, PlayStation 3, PlayStation 4, Nintendo Switch, PS Vita",Played,PC,2020-02-03 22:05:44,2020-02-03 22:10:54,,,,https://rawg.io/games/limbo
Twin Saga,2017-09-01,PC,Played,PC,2020-02-03 22:05:44,2020-02-03 22:10:42,,,,https://rawg.io/games/twin-saga
Evergarden,2018-08-16,"iOS, PC, Linux, macOS",Not played,PC,2020-02-03 22:05:44,2020-02-03 22:10:37,,,,https://rawg.io/games/evergarden
DiRT Rally 2.0,2019-02-26,"PC, Xbox One, PlayStation 4",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:10:32,,,,https://rawg.io/games/dirt-rally-20
Minion Masters,2019-05-24,"PC, Xbox One",Not played,PC,2020-02-03 22:05:44,2020-02-03 22:10:01,,,,https://rawg.io/games/minion-masters
Magicite,2014-06-09,"Linux, PC, macOS",Played,PC,2020-02-03 22:05:42,2020-02-03 22:09:30,,,,https://rawg.io/games/magicite
Steel & Steam: Episode 1,2014-07-16,PC,Not played,PC,2020-02-03 22:05:42,2020-02-03 22:09:22,,,,https://rawg.io/games/steel-steam-episode-1
Royal Quest,2014-08-06,PC,Not played,PC,2020-02-03 22:05:42,2020-02-03 22:09:17,,,,https://rawg.io/games/royal-quest
The Elder Scrolls Online: Tamriel Unlimited,2015-03-17,"PC, macOS, Xbox One, PlayStation 4",Played,PC,2020-02-03 22:05:43,2020-02-03 22:08:53,,,,https://rawg.io/games/the-elder-scrolls-online-tamriel-unlimited
Noita,2019-09-23,PC,Currently playing,PC,2020-02-03 22:05:45,2020-02-03 22:07:53,,,,https://rawg.io/games/noita
Dreams,2020-02-14,PlayStation 4,Wishlist,PlayStation 4,2020-02-04 14:42:42,2020-02-04 14:42:42,,,,https://rawg.io/games/dreams
Worlds of Ultima: The Savage Empire,1990-12-29,"macOS, PC",Not played,PC,2020-02-04 14:39:58,2020-02-04 14:40:49,,,,https://rawg.io/games/worlds-of-ultima-the-savage-empire
Team Fortress Classic,1999-04-01,"Linux, PC, macOS",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:43:28,,,,https://rawg.io/games/team-fortress-classic
The Walking Dead: Season 1,2012-04-23,"iOS, macOS, PC, Android, Nintendo Switch, PlayStation 3, Xbox One, PlayStation 4, PS Vita, Xbox 360",Not played,PC,2020-02-03 22:05:40,2020-02-03 22:42:17,,,,https://rawg.io/games/the-walking-dead
Unrailed!,1900-01-01,PC,Played,PC,2020-02-03 22:05:45,2020-02-03 22:42:09,,,,https://rawg.io/games/unrailed
Fallout: A Post Nuclear Role Playing Game,1997-09-30,"PC, macOS, Classic Macintosh",Played,PC,2020-02-03 22:05:45,2020-02-03 22:42:06,,,,https://rawg.io/games/fallout-a-post-nuclear-role-playing-game
The Elder Scrolls III: Morrowind,2002-05-02,"PC, Xbox 360, Xbox, Xbox One",Played,PC,2020-02-03 22:05:40,2020-02-03 22:42:01,,,,https://rawg.io/games/morrowind
Half-Life 2: Episode Two,2007-10-09,"PC, Android, macOS, Xbox 360, Linux",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:41:56,,,,https://rawg.io/games/half-life-2-episode-two
Halo Wars,2010-08-11,Xbox 360,Not played,Xbox 360,2020-02-03 22:06:26,2020-02-03 22:41:46,,,,https://rawg.io/games/halo-wars
Moonbase Alpha,2010-07-06,PC,Played,PC,2020-02-03 22:05:41,2020-02-03 22:41:31,,,,https://rawg.io/games/moonbase-alpha
Metro 2033,2010-03-16,"PC, Xbox 360",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:41:28,,,,https://rawg.io/games/metro-2033
Two Worlds Epic Edition,2009-04-30,"Linux, PC, macOS",Played,PC,2020-02-03 22:05:40,2020-02-03 22:41:23,,,,https://rawg.io/games/two-worlds-epic-edition
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition Double Pack",2009-08-25,PC,Not played,PC,2020-02-03 22:05:40,2020-02-03 22:41:20,,,,https://rawg.io/games/time-gentlemen-please-and-ben-there-dan-that-speci
Brutal Legend,2009-10-12,"macOS, iOS, Linux, PC, Xbox 360, PlayStation 3",Not played,PC,2020-02-03 22:05:41,2020-02-03 22:41:16,,,,https://rawg.io/games/brutal-legend
Assassin's Creed II,2009-11-17,"PlayStation 3, macOS, Xbox One, PC, PlayStation 4, Xbox 360",Not played,Xbox One,2020-02-03 22:06:26,2020-02-03 22:40:48,,,,https://rawg.io/games/assassins-creed-ii
Gothic II: Gold Edition,2010-01-13,PC,Not played,PC,2020-02-03 22:05:40,2020-02-03 22:40:45,,,,https://rawg.io/games/gothic-ii-gold-edition
Tropico 4,2011-08-24,"PC, macOS, Xbox 360",Played,PC,2020-02-03 22:05:40,2020-02-03 22:40:34,,,,https://rawg.io/games/tropico-4
LEGO Creator,1900-01-01,PC,,,,,recommended,,2020-02-03 23:21:10,https://rawg.io/games/lego-creator
Fortnite: Save The World,2017-07-21,"Nintendo Switch, iOS, Xbox One, PC, PlayStation 4",,,,,skip,,2020-02-03 22:59:13,https://rawg.io/games/fortnite
