Game,Released,Game platforms,Status,Played on,Created,Updated,Rating,Review,Rating Created,Url
Resident Evil Revelations,2012-02-07,"Xbox One, Xbox 360, Nintendo 3DS, Wii U, PlayStation 3, Nintendo Switch, PC",Completed,,2020-02-03 22:58:12,2020-02-03 22:58:13,,,,https://rawg.io/games/resident-evil-revelations-biohazard-revelations
Professor Layton and the Last Specter,2011-10-17,Nintendo DS,Completed,Nintendo DS,2020-02-03 22:52:41,2020-02-03 22:52:42,recommended,,2020-02-03 23:21:47,https://rawg.io/games/professor-layton-and-the-last-specter
Professor Layton and the Miracle Mask,2012-10-28,Nintendo 3DS,Played,Nintendo 3DS,2020-02-03 22:52:04,2020-02-03 22:52:06,,,,https://rawg.io/games/professor-layton-and-the-miracle-mask
Hyper Fighters,2014-01-23,PC,Not played,PC,2020-02-03 22:05:41,2020-02-03 22:49:09,,,,https://rawg.io/games/hyper-fighters
Cognition: An Erica Reed Thriller,2013-01-30,"PC, macOS",Not played,PC,2020-02-03 22:05:41,2020-02-03 22:49:07,,,,https://rawg.io/games/cognition-an-erica-reed-thriller
Spec Ops: The Line,2012-06-26,"PC, PlayStation 3, Xbox 360",Not played,PC,2020-02-03 22:05:40,2020-02-03 22:49:06,,,,https://rawg.io/games/spec-ops-the-line
Warlock - Master of the Arcane,2012-05-08,PC,Played,PC,2020-02-03 22:05:40,2020-02-03 22:48:56,,,,https://rawg.io/games/warlock-master-of-the-arcane
Commando Jack,2012-08-02,"macOS, PC, iOS",Not played,PC,2020-02-03 22:05:42,2020-02-03 22:48:48,,,,https://rawg.io/games/commando-jack
EVE Online,2010-12-15,"PC, macOS, Linux",Not played,PC,2020-02-03 22:05:44,2020-02-03 22:48:44,,,,https://rawg.io/games/eve-online
League of Legends,2009-10-27,"macOS, PC",Played,,2020-02-03 22:48:25,2020-02-03 22:48:37,skip,,2020-02-03 23:21:52,https://rawg.io/games/league-of-legends
Minecraft,2009-05-10,"Android, iOS, PS Vita, Xbox 360, Wii U, PlayStation 4, Nintendo Switch, macOS, PC, Xbox One, PlayStation 3, Linux, Nintendo 3DS",Played,,2020-02-03 22:48:14,2020-02-03 22:48:16,recommended,,2020-02-03 23:21:55,https://rawg.io/games/minecraft
Amnesia: The Dark Descent,2010-09-07,"PC, Linux, macOS",Not played,PC,2020-02-03 22:05:44,2020-02-03 22:48:00,,,,https://rawg.io/games/amnesia-the-dark-descent
Sports Champions,2010-09-07,PlayStation 3,Played,PlayStation 3,2020-02-03 22:06:11,2020-02-03 22:47:58,meh,,2020-02-03 23:21:02,https://rawg.io/games/sports-champions
Outland,2011-04-26,"Linux, PC, macOS, Xbox 360, PlayStation 3",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:47:54,,,,https://rawg.io/games/outland
